session_id,user_id,login_time,duration_minutes,ip_address,device_type,module_accessed
1,869,2025-01-10 23:16:16,59,53.142.253.184,Mobile,Forum
2,368,2025-04-15 09:11:31,97,192.67.216.144,Mobile,Assignment
3,429,2025-06-30 21:27:03,8,121.137.76.189,Desktop,Assignment
4,830,2024-11-27 22:53:58,17,188.193.232.156,Tablet,Quiz
5,807,2025-06-03 02:32:11,0,5.236.192.28,Tablet,Assignment
6,480,2025-03-07 06:04:48,30,147.227.53.95,Tablet,Assignment
7,314,2024-09-17 18:23:12,16,168.139.54.170,Mobile,Assignment
8,500,2025-04-17 02:11:03,9,130.152.145.174,Mobile,Forum
9,721,2025-05-19 20:16:56,6,169.202.130.255,Mobile,Assignment
10,355,2024-10-11 04:42:21,31,23.40.213.164,Desktop,Video
11,485,2024-10-30 19:31:43,16,91.202.184.191,Tablet,Video
12,211,2024-09-16 09:53:55,5,152.234.17.8,Desktop,Forum
13,704,2025-01-03 09:28:51,35,67.135.151.175,Tablet,Quiz
14,44,2025-02-25 23:28:06,24,88.199.173.201,Mobile,Quiz
15,541,2024-10-11 04:51:35,58,9.51.110.178,Desktop,Forum
16,571,2024-11-19 15:16:22,3,76.95.144.233,Desktop,Video
17,583,2024-11-21 03:56:19,46,165.91.130.54,Mobile,Forum
18,92,2024-08-27 22:59:58,33,172.52.49.167,Tablet,Assignment
19,265,2024-11-18 04:31:27,3,68.60.253.7,Tablet,Forum
20,895,2025-03-02 18:52:14,35,35.149.71.92,Tablet,Quiz
21,220,2025-07-20 18:32:28,17,145.223.47.35,Tablet,Video
22,902,2025-03-26 17:31:30,87,68.174.179.4,Mobile,Quiz
23,925,2025-01-20 19:26:22,4,218.72.217.134,Mobile,Quiz
24,442,2025-02-22 16:40:47,30,90.25.63.154,Mobile,Video
25,401,2024-10-04 22:19:18,14,182.68.207.13,Mobile,Assignment
26,400,2024-12-18 17:25:32,94,222.47.160.8,Desktop,Video
27,727,2025-05-25 13:43:08,12,137.49.135.228,Desktop,Video
28,991,2025-06-30 21:20:56,98,87.147.58.66,Desktop,Forum
29,899,2025-06-14 13:14:10,69,116.122.15.205,Mobile,Video
30,789,2025-01-11 09:18:19,9,125.251.39.190,Tablet,Forum
31,576,2024-09-01 00:20:53,48,25.2.14.74,Desktop,Quiz
32,858,2024-09-17 13:06:24,162,35.185.64.248,Desktop,Video
33,804,2025-02-15 05:10:13,8,190.94.105.218,Mobile,Assignment
34,490,2025-01-13 07:59:17,17,220.231.44.2,Tablet,Forum
35,485,2025-04-21 06:57:40,22,189.44.52.112,Tablet,Forum
36,757,2024-11-24 08:58:05,10,136.199.197.157,Tablet,Assignment
37,470,2025-02-06 09:04:00,0,37.228.119.143,Mobile,Forum
38,574,2025-07-23 18:52:50,7,191.191.60.34,Tablet,Forum
39,938,2025-04-17 19:21:13,9,191.44.38.74,Desktop,Assignment
40,844,2025-04-28 11:04:07,17,209.134.183.229,Desktop,Quiz
41,682,2024-12-11 13:51:37,5,192.0.145.25,Desktop,Video
42,445,2025-01-23 14:46:36,61,184.110.247.194,Mobile,Video
43,269,2024-12-10 06:29:42,36,80.209.179.57,Tablet,Video
44,267,2025-01-07 19:20:05,2,76.127.71.151,Mobile,Video
45,54,2025-01-22 21:45:15,31,103.208.194.93,Tablet,Video
46,528,2025-01-05 00:33:57,31,114.31.102.8,Mobile,Video
47,520,2025-01-01 01:03:24,93,201.65.189.175,Desktop,Forum
48,616,2025-01-20 20:38:51,0,42.245.188.62,Mobile,Video
49,59,2024-08-05 11:05:58,8,103.154.241.156,Mobile,Forum
50,825,2025-07-15 02:49:44,78,69.16.206.163,Mobile,Assignment
51,40,2025-02-27 18:34:46,80,22.142.174.46,Desktop,Quiz
52,237,2024-08-04 23:26:28,38,168.84.27.146,Mobile,Forum
53,955,2025-05-19 11:58:50,43,133.7.177.150,Mobile,Quiz
54,386,2025-01-05 04:24:54,2,128.7.156.1,Desktop,Assignment
55,606,2024-08-29 01:23:13,21,46.1.251.206,Tablet,Video
56,734,2025-05-15 06:15:43,7,183.157.121.131,Mobile,Quiz
57,716,2024-09-18 07:31:18,5,174.138.195.160,Desktop,Quiz
58,650,2025-03-21 15:19:42,49,95.186.86.43,Mobile,Assignment
59,300,2025-07-12 21:36:44,4,6.194.125.32,Desktop,Assignment
60,395,2024-11-20 03:38:53,18,44.47.77.206,Tablet,Assignment
61,207,2025-05-27 05:06:41,83,113.48.122.251,Tablet,Forum
62,336,2024-10-27 22:47:26,6,217.126.204.12,Mobile,Forum
63,593,2025-03-08 02:09:58,114,35.37.213.128,Desktop,Quiz
64,730,2025-02-09 15:16:57,154,181.101.240.16,Tablet,Assignment
65,514,2024-12-17 14:49:01,24,218.86.51.160,Tablet,Quiz
66,178,2024-09-13 03:27:24,5,89.81.82.156,Desktop,Video
67,396,2025-03-23 20:16:51,11,34.192.136.85,Mobile,Assignment
68,371,2025-02-21 16:48:30,16,193.48.100.110,Tablet,Forum
69,858,2025-07-10 04:57:38,11,25.28.194.78,Tablet,Assignment
70,791,2025-03-02 08:42:23,9,199.121.23.131,Tablet,Quiz
71,658,2025-07-01 14:54:25,107,24.1.8.25,Mobile,Forum
72,318,2024-11-16 15:19:33,4,175.47.215.37,Tablet,Video
73,736,2024-08-15 12:09:39,39,19.119.13.26,Desktop,Video
74,369,2025-05-15 01:24:11,0,222.210.147.118,Mobile,Quiz
75,384,2025-06-18 22:08:25,27,191.253.51.105,Tablet,Assignment
76,62,2024-12-25 05:01:09,74,138.230.126.64,Desktop,Video
77,806,2024-09-12 14:58:34,10,210.103.220.227,Desktop,Quiz
78,505,2024-12-29 04:51:43,6,74.85.163.95,Mobile,Forum
79,239,2025-04-11 22:45:37,31,159.117.248.92,Desktop,Forum
80,195,2024-07-28 00:39:13,37,213.214.39.199,Mobile,Quiz
81,678,2025-01-21 10:51:02,34,76.96.109.39,Mobile,Assignment
82,963,2025-06-04 07:26:16,11,123.91.227.156,Mobile,Assignment
83,222,2025-05-18 00:48:10,8,109.113.52.18,Desktop,Assignment
84,61,2025-06-30 11:55:46,93,191.184.199.10,Mobile,Assignment
85,129,2025-02-11 21:21:22,77,167.1.195.240,Mobile,Quiz
86,990,2025-01-20 10:44:14,18,118.208.250.222,Desktop,Quiz
87,685,2025-06-16 15:03:42,56,215.105.128.200,Mobile,Forum
88,992,2024-08-15 19:42:46,18,215.198.229.145,Tablet,Forum
89,156,2024-08-27 14:14:56,16,213.171.194.41,Desktop,Assignment
90,917,2024-08-15 22:56:33,5,6.140.43.32,Desktop,Video
91,378,2024-11-07 15:22:52,16,53.169.131.109,Desktop,Video
92,622,2025-06-13 00:20:40,23,119.49.189.35,Tablet,Forum
93,781,2025-04-04 02:29:21,0,203.133.221.255,Mobile,Forum
94,923,2024-09-05 06:56:14,17,29.183.210.105,Desktop,Quiz
95,868,2024-12-02 05:27:36,45,39.157.157.12,Desktop,Forum
96,903,2025-03-13 12:48:59,34,17.244.112.205,Desktop,Forum
97,790,2024-09-01 12:59:39,30,63.198.18.162,Tablet,Assignment
98,586,2025-06-09 22:12:23,72,118.123.58.21,Tablet,Video
99,999,2024-11-15 13:32:32,0,10.88.62.179,Tablet,Video
100,437,2025-03-02 07:29:01,24,208.126.169.206,Mobile,Quiz
101,975,2025-01-28 16:46:30,46,32.36.227.87,Mobile,Video
102,207,2025-04-19 21:57:41,23,41.49.57.178,Tablet,Assignment
103,388,2024-12-01 09:10:47,11,74.240.175.117,Mobile,Assignment
104,480,2025-06-26 09:09:38,4,98.203.95.204,Tablet,Quiz
105,791,2024-08-18 08:28:11,65,42.48.157.36,Mobile,Forum
106,887,2024-09-10 21:05:49,19,89.44.193.218,Mobile,Forum
107,838,2025-05-09 06:52:37,63,151.109.53.37,Tablet,Assignment
108,984,2025-03-09 18:11:56,26,85.113.121.210,Desktop,Quiz
109,340,2025-04-13 15:09:14,33,7.148.8.193,Desktop,Assignment
110,869,2025-02-09 02:21:53,48,206.30.136.103,Mobile,Video
111,340,2025-05-08 20:32:08,32,41.159.45.213,Mobile,Video
112,204,2025-04-30 03:38:25,15,181.147.42.197,Mobile,Assignment
113,161,2024-08-15 07:21:13,21,72.225.46.229,Mobile,Forum
114,540,2025-04-24 04:18:01,48,57.119.177.59,Mobile,Video
115,392,2024-10-13 08:30:30,14,194.40.97.153,Mobile,Quiz
116,769,2025-02-11 05:05:55,14,3.18.246.63,Tablet,Forum
117,677,2024-09-19 16:45:44,3,116.158.241.8,Desktop,Video
118,575,2025-02-28 23:50:52,73,176.132.111.39,Desktop,Assignment
119,534,2025-05-09 06:25:19,2,200.129.235.71,Tablet,Forum
120,70,2025-02-03 01:44:35,31,209.53.143.116,Tablet,Forum
121,893,2024-09-16 16:32:05,15,168.17.92.201,Desktop,Video
122,405,2024-10-20 12:44:46,15,200.235.80.114,Desktop,Quiz
123,608,2025-07-08 07:39:41,34,155.184.190.111,Mobile,Video
124,675,2025-04-14 02:58:13,2,193.128.101.24,Desktop,Video
125,591,2025-03-31 03:18:29,27,12.171.125.94,Mobile,Video
126,517,2025-06-21 16:46:04,44,147.20.174.87,Mobile,Video
127,828,2024-09-23 19:46:52,52,218.206.156.46,Desktop,Video
128,120,2024-11-19 13:41:16,5,170.67.154.7,Mobile,Assignment
129,814,2025-03-26 16:47:07,68,146.37.241.184,Mobile,Video
130,690,2024-11-23 10:52:54,32,61.77.254.197,Tablet,Quiz
131,688,2025-05-01 00:03:31,64,203.68.149.19,Desktop,Forum
132,902,2025-07-24 10:16:21,19,156.63.253.29,Tablet,Assignment
133,217,2024-07-28 05:17:41,23,75.117.109.212,Mobile,Quiz
134,56,2025-06-03 14:03:44,75,118.109.44.10,Mobile,Video
135,366,2025-01-30 01:16:43,69,31.72.130.207,Tablet,Quiz
136,699,2025-03-24 22:08:17,17,97.126.124.146,Tablet,Forum
137,504,2025-04-18 19:41:38,9,92.237.172.80,Tablet,Quiz
138,744,2024-10-11 15:49:39,14,124.79.221.24,Mobile,Video
139,767,2024-09-08 06:19:59,14,203.18.8.9,Desktop,Forum
140,925,2024-08-20 18:58:42,10,190.195.214.117,Mobile,Video
141,455,2024-07-25 17:30:07,9,31.194.82.234,Tablet,Video
142,104,2024-09-23 03:26:18,59,41.152.61.207,Desktop,Assignment
143,77,2025-03-17 04:54:21,2,221.247.132.140,Tablet,Forum
144,230,2025-07-02 10:25:22,33,10.118.111.233,Mobile,Forum
145,914,2024-09-10 17:17:30,5,173.9.48.192,Desktop,Video
146,258,2025-02-12 14:15:59,12,44.141.199.197,Desktop,Quiz
147,264,2024-09-01 08:00:13,1,17.56.197.27,Mobile,Forum
148,331,2024-10-29 17:17:48,9,165.23.145.91,Tablet,Quiz
149,993,2024-10-13 01:19:26,43,128.10.185.177,Tablet,Quiz
150,182,2024-09-03 22:51:23,64,43.235.79.95,Tablet,Forum
151,893,2025-01-25 16:46:06,7,143.50.230.37,Mobile,Quiz
152,768,2024-08-04 06:58:59,18,49.60.168.54,Tablet,Forum
153,550,2025-06-14 02:44:32,19,219.136.11.244,Desktop,Assignment
154,688,2025-02-07 03:36:31,62,188.124.37.36,Tablet,Forum
155,27,2025-01-14 01:49:58,43,53.61.120.188,Tablet,Forum
156,276,2024-12-24 10:53:11,21,130.115.196.24,Desktop,Forum
157,652,2024-08-16 07:53:39,33,71.253.36.6,Desktop,Assignment
158,299,2025-07-20 08:31:44,56,106.208.132.19,Tablet,Quiz
159,957,2024-09-11 00:32:01,0,186.246.214.79,Desktop,Assignment
160,799,2024-11-19 04:39:40,15,169.68.176.199,Mobile,Quiz
161,91,2024-12-29 19:55:00,71,118.74.112.39,Desktop,Forum
162,480,2025-01-29 13:45:42,40,28.156.50.104,Mobile,Forum
163,573,2024-10-05 04:34:58,23,98.210.252.28,Desktop,Assignment
164,458,2025-06-09 06:38:55,22,174.90.114.151,Mobile,Assignment
165,451,2024-10-24 22:51:19,12,97.249.22.107,Mobile,Assignment
166,365,2025-06-17 14:34:32,22,136.132.173.17,Tablet,Assignment
167,859,2025-06-19 22:34:10,31,145.59.110.179,Desktop,Forum
168,675,2025-02-23 00:57:42,16,163.142.30.153,Desktop,Forum
169,351,2024-11-03 19:04:32,37,214.57.230.68,Desktop,Video
170,655,2025-06-09 19:50:31,59,4.211.39.118,Mobile,Assignment
171,400,2025-03-20 16:30:24,5,42.133.225.230,Tablet,Assignment
172,253,2025-04-16 07:32:09,18,122.159.127.230,Desktop,Quiz
173,781,2025-01-12 06:09:21,15,98.179.254.151,Tablet,Quiz
174,881,2025-06-24 10:33:18,34,191.119.55.132,Tablet,Forum
175,803,2025-04-07 07:39:31,8,109.126.93.70,Mobile,Video
176,459,2025-03-22 09:30:12,30,42.255.181.74,Desktop,Assignment
177,699,2024-09-11 13:26:38,62,46.47.140.99,Tablet,Video
178,917,2025-01-09 14:59:51,16,215.28.214.224,Desktop,Video
179,499,2024-09-20 12:17:02,72,55.174.238.30,Desktop,Forum
180,950,2025-03-29 18:57:23,149,70.204.39.165,Desktop,Video
181,971,2024-08-03 03:02:06,3,3.144.155.203,Tablet,Assignment
182,926,2024-10-05 11:42:11,7,33.164.102.199,Mobile,Forum
183,508,2024-09-18 17:46:48,90,201.245.98.30,Mobile,Video
184,304,2025-06-08 14:36:32,95,14.46.50.250,Tablet,Forum
185,501,2025-05-10 21:19:48,3,201.76.41.80,Desktop,Forum
186,803,2025-04-07 01:11:25,0,84.130.28.180,Desktop,Quiz
187,598,2024-10-27 04:29:13,5,185.49.153.186,Mobile,Forum
188,166,2024-09-30 00:54:43,165,173.203.44.227,Tablet,Video
189,415,2025-02-09 08:50:04,5,83.159.166.178,Tablet,Quiz
190,462,2025-05-09 17:59:07,20,135.173.183.71,Mobile,Assignment
191,920,2025-04-23 10:10:51,56,210.98.98.9,Tablet,Assignment
192,114,2025-02-23 00:36:20,0,211.159.79.20,Tablet,Assignment
193,433,2024-10-11 12:34:34,27,223.126.247.242,Mobile,Assignment
194,992,2025-01-26 15:17:13,9,107.47.181.159,Mobile,Assignment
195,356,2025-01-28 07:26:28,59,13.86.124.210,Tablet,Video
196,928,2024-11-15 08:30:08,9,145.57.124.229,Tablet,Forum
197,695,2024-11-15 03:01:46,34,161.96.76.51,Mobile,Quiz
198,207,2025-04-10 23:03:04,33,170.215.58.246,Mobile,Forum
199,768,2024-09-02 13:25:12,7,37.165.48.11,Desktop,Forum
200,235,2025-03-11 08:50:43,1,61.9.10.36,Tablet,Video
201,442,2025-02-02 03:55:40,15,84.250.30.222,Tablet,Video
202,355,2024-12-15 09:01:14,10,102.221.203.78,Mobile,Video
203,515,2025-04-11 00:34:51,49,187.183.44.146,Mobile,Quiz
204,208,2024-11-09 14:02:42,48,141.185.214.78,Desktop,Video
205,709,2024-12-24 15:19:01,18,167.157.26.203,Desktop,Forum
206,853,2024-12-22 13:16:46,27,179.29.184.60,Mobile,Quiz
207,125,2025-04-22 15:45:49,27,118.209.235.155,Tablet,Video
208,138,2025-06-01 08:21:35,52,26.39.124.197,Desktop,Video
209,339,2024-09-05 09:36:42,16,81.2.30.208,Mobile,Video
210,537,2025-01-21 21:37:27,9,200.153.71.106,Mobile,Forum
211,68,2025-01-03 14:55:33,9,134.251.146.66,Mobile,Video
212,573,2025-06-06 15:28:44,23,37.147.167.53,Tablet,Forum
213,541,2025-01-06 16:53:57,17,86.165.162.88,Mobile,Quiz
214,383,2024-09-21 06:10:52,17,110.32.125.182,Mobile,Video
215,19,2024-08-05 13:52:28,2,135.207.18.142,Tablet,Assignment
216,683,2024-11-12 18:51:20,38,158.67.202.209,Mobile,Assignment
217,450,2025-01-19 05:29:05,7,2.134.203.42,Mobile,Forum
218,74,2024-09-10 08:49:45,6,176.55.26.143,Desktop,Video
219,573,2025-03-01 19:58:44,15,124.132.227.248,Mobile,Video
220,939,2024-12-23 22:54:51,7,117.146.180.17,Tablet,Assignment
221,665,2024-07-29 23:52:46,26,40.194.37.134,Desktop,Quiz
222,276,2025-03-08 04:10:34,13,207.108.218.213,Mobile,Quiz
223,48,2024-11-20 07:06:41,17,52.195.223.153,Tablet,Forum
224,211,2024-08-07 22:51:02,23,221.75.225.57,Mobile,Assignment
225,855,2025-04-02 06:01:14,6,167.50.76.43,Desktop,Forum
226,920,2025-04-04 07:32:40,5,6.60.126.118,Tablet,Forum
227,651,2025-07-07 14:35:31,63,42.185.202.215,Desktop,Quiz
228,622,2025-04-06 22:38:14,17,85.159.255.148,Tablet,Assignment
229,994,2025-03-23 10:50:11,15,12.121.76.68,Tablet,Forum
230,695,2025-01-14 08:01:02,1,6.183.94.193,Mobile,Quiz
231,540,2024-08-11 06:31:34,20,189.128.187.242,Tablet,Quiz
232,709,2025-07-13 09:21:08,24,195.68.241.113,Tablet,Video
233,191,2025-07-12 23:33:59,24,164.155.200.25,Mobile,Assignment
234,315,2024-12-10 11:27:47,36,106.15.246.34,Tablet,Assignment
235,901,2024-09-17 19:34:19,5,39.152.22.197,Tablet,Video
236,563,2025-01-23 10:22:46,8,195.182.97.192,Tablet,Forum
237,661,2025-07-03 09:57:31,49,196.26.1.87,Tablet,Quiz
238,780,2025-05-02 12:37:33,88,64.102.134.16,Mobile,Quiz
239,562,2025-01-19 17:18:08,4,209.95.59.66,Mobile,Quiz
240,900,2024-11-10 06:06:06,20,108.232.210.101,Desktop,Video
241,758,2024-07-29 06:10:27,7,46.177.84.147,Tablet,Quiz
242,113,2024-09-25 04:46:03,1,142.218.142.51,Mobile,Forum
243,170,2024-12-11 15:37:08,11,79.33.134.154,Tablet,Forum
244,468,2025-02-05 03:27:25,4,71.104.45.171,Mobile,Video
245,678,2025-06-23 02:10:19,37,165.19.249.208,Desktop,Forum
246,921,2025-06-25 02:28:38,22,64.91.65.9,Tablet,Assignment
247,14,2025-02-06 03:23:07,4,62.192.253.134,Desktop,Assignment
248,715,2024-10-15 13:46:56,0,77.15.212.208,Desktop,Quiz
249,288,2024-12-08 04:32:18,49,155.62.99.50,Desktop,Quiz
250,907,2025-07-11 05:32:59,5,2.186.133.70,Mobile,Assignment
251,189,2025-04-25 23:39:34,27,146.43.146.174,Tablet,Forum
252,914,2025-02-14 15:02:33,12,56.132.45.205,Mobile,Video
