transaction_id,user_id,amount,transaction_date,payment_mode,refund_requested
1,17,47.95,2025-04-18,Credit Card,False
2,90,45.48,2024-10-21,Gift Code,False
3,348,47.01,2025-03-01,Gift Code,False
4,677,53.78,2024-09-03,Credit Card,False
5,977,70.79,2025-04-18,Credit Card,False
6,444,62.17,2024-08-20,PayPal,False
7,253,38.52,2025-01-23,Credit Card,False
8,817,39.58,2024-09-10,PayPal,False
9,593,30.93,2025-01-28,Gift Code,True
10,993,53.08,2025-07-23,Credit Card,False
11,184,48.29,2024-10-29,Gift Code,False
12,290,56.26,2025-06-20,Credit Card,False
13,761,44.98,2025-04-27,Gift Code,True
14,215,46.03,2024-07-27,Credit Card,False
15,158,35.47,2024-08-04,Credit Card,False
16,923,61.02,2024-10-09,PayPal,False
17,691,43.97,2025-04-25,PayPal,False
18,393,41.63,2024-10-31,Credit Card,False
19,20,59.66,2024-12-09,PayPal,False
20,471,35.23,2024-12-24,Credit Card,False
21,431,55.49,2025-02-14,Credit Card,False
22,659,42.31,2025-04-13,Gift Code,False
23,997,48.83,2025-07-04,PayPal,False
24,68,30.64,2025-02-04,PayPal,False
25,77,55.77,2025-04-17,Gift Code,False
26,102,70.49,2024-11-08,Credit Card,False
27,652,37.36,2025-07-14,PayPal,False
28,893,61.54,2025-02-14,Credit Card,False
29,585,49.52,2024-12-24,PayPal,False
30,207,55.34,2024-11-28,PayPal,True
31,213,38.19,2025-04-11,Credit Card,False
32,79,39.67,2025-07-21,Credit Card,False
33,113,50.86,2025-01-29,PayPal,False
34,765,47.83,2025-05-12,Gift Code,False
35,133,51.48,2024-10-12,Gift Code,False
36,197,35.35,2025-01-25,Gift Code,False
37,25,56.09,2024-11-15,Gift Code,False
38,472,53.87,2025-05-23,Gift Code,False
39,613,61.05,2024-11-09,Credit Card,False
40,757,53.16,2025-03-13,PayPal,False
41,543,72.55,2024-12-17,Gift Code,True
42,942,70.07,2024-12-28,PayPal,False
43,290,50.16,2024-12-17,Credit Card,False
44,256,49.77,2024-07-25,PayPal,False
45,937,41.69,2025-01-11,Credit Card,False
46,206,36.43,2024-09-14,PayPal,False
47,475,47.71,2024-10-17,PayPal,False
48,68,43.55,2024-12-23,Credit Card,False
49,215,42.14,2024-12-17,PayPal,False
50,634,53.5,2025-05-03,Credit Card,False
51,422,34.23,2024-08-15,PayPal,False
52,558,38.16,2025-05-18,PayPal,False
53,581,30.27,2024-11-14,Gift Code,True
54,539,36.46,2025-06-19,PayPal,False
55,683,43.95,2025-07-01,Gift Code,False
56,757,58.07,2025-05-28,Gift Code,False
57,462,69.32,2025-01-22,Credit Card,False
58,455,32.72,2024-11-03,Credit Card,True
59,301,58.76,2024-09-02,PayPal,False
60,786,40.36,2024-09-19,Credit Card,False
61,288,51.62,2024-07-26,Gift Code,False
62,761,55.76,2025-02-25,PayPal,False
63,2,64.05,2024-09-03,Credit Card,False
64,937,73.95,2025-02-19,Credit Card,False
65,20,60.42,2024-07-24,Credit Card,False
66,477,45.24,2024-10-06,Gift Code,False
67,954,34.6,2025-01-09,Credit Card,True
68,491,52.31,2025-02-09,PayPal,False
69,986,56.45,2025-03-11,PayPal,True
70,806,38.44,2024-10-13,PayPal,False
71,257,57.75,2025-02-03,Gift Code,False
72,453,45.71,2025-03-29,Credit Card,False
73,438,38.69,2024-09-21,PayPal,False
74,761,51.36,2024-12-09,Credit Card,True
75,398,40.96,2025-06-15,Credit Card,False
76,153,38.43,2025-06-22,PayPal,False
77,649,52.86,2024-09-13,Gift Code,False
78,222,54.14,2025-05-27,PayPal,False
79,723,46.34,2025-02-16,PayPal,False
80,701,52.74,2025-04-13,Gift Code,True
81,436,61.41,2025-03-08,Credit Card,True
82,744,58.31,2025-03-23,Credit Card,False
83,136,41.73,2024-11-10,Gift Code,False
84,528,50.27,2024-07-25,PayPal,False
85,626,43.0,2024-11-19,Gift Code,False
86,776,35.99,2024-10-15,PayPal,False
87,279,56.42,2025-03-06,Gift Code,True
88,585,60.02,2024-10-27,Credit Card,False
89,736,45.25,2025-05-20,Gift Code,False
90,485,52.34,2024-12-12,Gift Code,True
91,546,65.46,2024-09-07,PayPal,False
92,245,60.24,2024-12-27,PayPal,False
93,750,44.13,2024-07-31,PayPal,False
94,18,49.19,2024-09-15,Gift Code,False
95,877,42.91,2024-12-24,Gift Code,False
96,556,52.28,2025-03-17,PayPal,False
97,143,50.39,2025-05-20,Credit Card,False
98,501,38.46,2025-04-25,PayPal,False
99,527,45.43,2024-11-28,Gift Code,False
